 ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action,ray1
7.747221,5.193122,6.631091,2.626906,-39.57993,0.279209,46.83472,10.60296,,LEFT_ACCELERATE,
8.142931,4.296163,6.631273,2.571969,-40.23265,0.2792113,45.48287,10.70422,,LEFT_ACCELERATE,
8.550596,3.750671,6.762223,2.435249,-40.66036,0.2791942,44.07635,10.80324,,LEFT_ACCELERATE,
8.744474,3.491448,6.916974,2.282083,-40.95749,0.2791795,42.65271,10.90098,,LEFT_ACCELERATE,
8.542743,3.666514,6.98491,2.227523,-41.24353,0.2791688,41.17012,11.00238,,ACCELERATE,
8.24289,4.145762,6.936425,2.32077,-41.55029,0.2791623,39.70678,11.10277,,LEFT_ACCELERATE,
8.270887,4.208258,6.829342,2.43713,-41.78939,0.2791623,38.25806,11.20142,,LEFT_ACCELERATE,
8.23223,4.330836,6.705837,2.59024,-41.96611,0.2791628,36.75272,11.30319,,ACCELERATE,
8.00268,4.644084,6.530956,2.777713,-42.15255,0.2791614,35.26401,11.40393,,ACCELERATE,
7.761864,4.972441,6.335816,2.973213,-42.34606,0.279162,33.83529,11.50073,,ACCELERATE,
7.498743,5.331617,6.121977,3.187309,-42.55789,0.2791604,32.3441,11.60185,,ACCELERATE,
7.231566,5.69654,5.904399,3.405039,-42.77287,0.2791613,30.87498,11.70153,,LEFT_ACCELERATE,
7.181615,5.750978,5.690504,3.576201,-42.95543,0.2791611,29.4192,11.80007,,LEFT_ACCELERATE,
7.220719,5.706997,5.557311,3.678612,-43.0677,0.2791623,27.90141,11.90227,,ACCELERATE,
7.080587,5.874318,5.448029,3.787652,-43.17699,0.279161,26.40577,12.00294,,ACCELERATE,
6.932218,6.051401,5.334404,3.901363,-43.2908,0.2791606,24.95112,12.1009,,ACCELERATE,
6.771626,6.24314,5.211228,4.024609,-43.41375,0.2791594,23.44549,12.20232,,ACCELERATE,
6.6863,6.335428,5.087846,4.138793,-43.52948,0.2791606,21.95045,12.303,,LEFT_ACCELERATE,
6.798991,6.197919,5.021223,4.187865,-43.58496,0.2791604,20.47907,12.40187,,ACCELERATE,
6.736393,6.266268,4.972503,4.236366,-43.63422,0.2791599,18.964,12.50364,,ACCELERATE,
6.664948,6.3443,4.920075,4.288819,-43.68679,0.2791622,17.51879,12.60073,,ACCELERATE,
6.585035,6.431585,4.861361,4.347558,-43.74559,0.2791602,16.00909,12.70216,,ACCELERATE,
6.503711,6.520423,4.801469,4.407463,-43.80543,0.2791602,14.53791,12.80101,,ACCELERATE,
6.428466,6.601308,4.738247,4.470016,-43.86784,0.2791601,13.01801,12.90314,,LEFT_ACCELERATE,
6.618394,6.391056,4.71442,4.485837,-43.88457,0.2791596,11.55637,13.00131,,LEFT_ACCELERATE,
6.685667,6.324822,4.731236,4.468769,-43.86817,0.2791602,10.03516,13.10344,,ACCELERATE,
6.700833,6.30962,4.742039,4.457965,-43.85771,0.2791605,8.547145,13.20334,,ACCELERATE,
6.709866,6.300547,4.748711,4.451293,-43.85114,0.2791594,7.037254,13.30471,,ACCELERATE,
6.715086,6.29531,4.752567,4.447437,-43.84736,0.2791598,5.583116,13.40234,,ACCELERATE,
6.718063,6.292314,4.754757,4.445248,-43.84521,0.2791602,4.075789,13.50353,,ACCELERATE,
6.719373,6.291007,4.755711,4.444294,-43.84429,0.2791585,2.635339,13.60024,,ACCELERATE,
