ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
7.923119,3.02019,-1,2.519968,6.813677,-30.53045,0.2791612,58.30962,10.60179,,LEFT_ACCELERATE
6.744782,2.671812,-1,2.306875,7.134515,-32.01308,0.2791617,58.11349,10.70221,,LEFT_ACCELERATE
5.68041,2.276153,-1,2.019346,7.538262,-33.50166,0.279161,57.88747,10.80333,,LEFT_ACCELERATE
5.328077,2.00096,-1,1.740752,7.755111,-34.90981,0.2791755,57.54651,10.90077,,LEFT_ACCELERATE
5.781616,1.901904,-1,1.55792,7.772682,-36.3162,0.2792004,56.98197,11.00286,,LEFT_ACCELERATE
7.360281,2.054071,-1,1.556509,7.653881,-37.5344,0.2792161,56.20989,11.10012,,LEFT_ACCELERATE
9.637869,2.472678,-1,1.73716,7.474048,-38.66009,0.2792055,55.16686,11.20364,,LEFT_ACCELERATE
11.08599,2.927394,13.807,2.009205,7.235391,-39.6098,0.2791882,54.02129,11.30377,,LEFT_ACCELERATE
11.1365,3.180321,13.96396,2.239107,6.981484,-40.47143,0.2791732,52.85591,11.40111,,LEFT_ACCELERATE
9.893572,3.151097,-1,2.36388,6.832877,-41.36713,0.2791654,51.66784,11.50103,,ACCELERATE
8.48974,2.953775,-1,2.357191,6.89186,-42.30449,0.279162,50.47734,11.60277,,LEFT_ACCELERATE
7.489823,2.707406,-1,2.228037,7.08439,-43.22636,0.2791604,49.29639,11.70338,,LEFT_ACCELERATE
7.459651,2.570971,-1,2.099103,7.198055,-44.02825,0.2791668,48.09363,11.80058,,LEFT_ACCELERATE
7.075254,2.414215,-1,1.993313,7.330914,-44.77432,0.2791668,46.74699,11.90399,,LEFT_ACCELERATE
5.827619,2.111471,-1,1.818654,7.632617,-45.46883,0.2791624,45.46902,12.00165,,LEFT_ACCELERATE
4.713726,1.738886,-1,1.538311,8.023682,-46.1758,0.2791603,44.15591,12.10179,,LEFT_ACCELERATE
4.330306,1.458867,-1,1.266506,8.227921,-46.77444,0.2791708,42.80974,12.20086,,LEFT_ACCELERATE
4.973082,1.350244,16.35826,1.090347,8.222238,-47.1886,0.2791966,41.37428,12.30148,,LEFT_ACCELERATE
10.75315,1.521944,12.81926,1.113255,8.085026,-47.33679,0.2792102,39.88243,12.40259,,LEFT_ACCELERATE
-1,1.9807,10.79424,1.333924,7.9022,-47.22824,0.2791991,38.38202,12.50396,,LEFT_ACCELERATE
-1,2.61476,9.655779,1.630849,7.647496,-46.9665,0.279184,36.96457,12.60088,,LEFT_ACCELERATE
-1,3.286238,9.000881,1.967669,7.339802,-46.64297,0.279168,35.51057,12.70091,,ACCELERATE
-1,3.798012,8.625169,2.274139,7.033327,-46.34242,0.2791637,34.02957,12.80239,,ACCELERATE
-1,4.235075,8.309181,2.543929,6.759787,-46.07568,0.2791614,32.57528,12.90167,,RIGHT_ACCELERATE
-1,4.476163,8.16887,2.761032,6.513719,-45.85467,0.2791609,31.07793,13.00331,,ACCELERATE
-1,4.788599,7.928481,2.957172,6.31638,-45.65931,0.2791612,29.62541,13.10171,,RIGHT_ACCELERATE
-1,4.808834,7.976616,3.106281,6.12812,-45.50304,0.2791643,28.09866,13.20481,,RIGHT_ACCELERATE
-1,4.492107,8.452359,3.121648,6.079743,-45.48114,0.2791693,26.6208,13.30415,,RIGHT_ACCELERATE
-1,4.375584,8.62738,3.088314,6.111702,-45.51336,0.2791627,25.13968,13.40362,,RIGHT_ACCELERATE
-1,4.186977,8.955819,3.039725,6.163558,-45.5653,0.2791616,23.64343,13.50416,,RIGHT_ACCELERATE
-1,4.014666,9.216082,2.953101,6.25436,-45.65338,0.2791606,22.20572,13.60087,,ACCELERATE
-1,3.898577,9.341516,2.86753,6.339909,-45.73752,0.2791595,20.68294,13.70326,,ACCELERATE
-1,3.799587,9.447794,2.794303,6.413078,-45.81075,0.2791597,19.21918,13.80166,,ACCELERATE
-1,3.703616,9.551001,2.723421,6.483916,-45.88142,0.2791597,17.70295,13.90356,,ACCELERATE
-1,3.617079,9.644222,2.659592,6.547717,-45.94517,0.2791579,16.26557,14.00015,,ACCELERATE
-1,3.48327,9.870234,2.588692,6.623275,-46.01878,0.2791605,14.74904,14.10209,,RIGHT_ACCELERATE
-1,3.160448,10.64342,2.453128,6.790688,-46.16603,0.2791623,13.25467,14.20296,,RIGHT_ACCELERATE
-1,2.918192,11.00275,2.277894,6.971669,-46.34133,0.2791602,11.79535,14.30164,,ACCELERATE
-1,2.698502,11.2725,2.10625,7.143239,-46.51093,0.2791579,10.31812,14.40147,,ACCELERATE
18.72708,2.488588,11.52966,1.942197,7.307177,-46.67442,0.2791599,8.846253,14.50089,,ACCELERATE
17.13967,2.275869,11.7905,1.776037,7.47325,-46.83915,0.2791603,7.328776,14.60337,,ACCELERATE
15.63353,2.074676,12.03744,1.61894,7.630288,-46.99532,0.2791593,5.867764,14.70201,,ACCELERATE
18.09402,1.933211,11.93868,1.478703,7.752005,-47.13067,0.2791594,4.394595,14.80135,,LEFT_ACCELERATE
-1,1.871887,11.71846,1.398719,7.816089,-47.20596,0.2791601,2.879504,14.90321,,ACCELERATE
-1,1.778085,11.82125,1.328377,7.886321,-47.27646,0.2791602,1.418792,15.00139,,ACCELERATE
-1,1.674506,11.93783,1.251055,7.963667,-47.35393,0.2791595,-0.09834115,15.10338,,ACCELERATE
-1,1.569395,12.05602,1.172567,8.042176,-47.43236,0.2791602,-1.579773,15.20297,,ACCELERATE
-1,1.505814,11.90463,1.104755,8.101741,-47.49636,0.2791589,-3.074686,15.30345,,LEFT_ACCELERATE
-1,1.598958,11.3289,1.120943,8.079399,-47.47671,0.2791604,-4.56782,15.40375,,LEFT_ACCELERATE
-1,1.665187,11.23228,1.163408,8.037251,-47.43523,0.2791618,-6.045799,15.50301,,ACCELERATE
-1,1.71302,11.18627,1.196918,8.003733,-47.40211,0.2791584,-7.511677,15.60145,,ACCELERATE
-1,1.75421,11.14689,1.225811,7.97483,-47.37334,0.2791617,-9.032882,15.70359,,ACCELERATE
-1,1.789571,11.11283,1.250588,7.950046,-47.34855,0.2791587,-10.53846,15.80468,,ACCELERATE
-1,1.821223,11.08217,1.272745,7.927886,-47.32662,0.2791603,-12.01504,15.90382,,ACCELERATE
18.81875,1.849487,11.05468,1.292514,7.908116,-47.30673,0.2791583,-13.45499,16.0005,,ACCELERATE
17.3042,1.878015,11.02684,1.312455,7.888174,-47.28692,0.2791599,-14.9673,16.10204,,ACCELERATE
15.8416,1.904549,11.04106,1.330995,7.869633,-47.2684,0.2791587,-16.43378,16.2005,,ACCELERATE
14.35969,1.930726,11.21339,1.34928,7.851349,-47.25009,0.2791606,-17.92117,16.30037,,ACCELERATE
13.63095,2.016425,11.30409,1.382203,7.822104,-47.21554,0.2791585,-19.41951,16.40101,,LEFT_ACCELERATE
14.5337,2.376744,10.69332,1.52214,7.718673,-47.07581,0.2791644,-20.94296,16.50382,,LEFT_ACCELERATE
13.71662,2.686338,10.84731,1.724582,7.532264,-46.87846,0.2791617,-22.42776,16.60439,,ACCELERATE
12.30156,2.797836,11.74381,1.891794,7.343419,-46.69181,0.2791617,-23.89378,16.70362,,ACCELERATE
10.87949,2.788552,14.77316,1.987308,7.220666,-46.51591,0.2791588,-25.33732,16.80124,,ACCELERATE
9.434073,2.674493,-1,2.002988,7.202554,-46.34202,0.2791605,-26.80538,16.90049,,LEFT_ACCELERATE
8.740583,2.582364,-1,1.963478,7.245405,-46.12814,0.2791601,-28.29303,17.00144,,LEFT_ACCELERATE
9.325732,2.670852,-1,1.976431,7.220969,-45.77303,0.279178,-29.74631,17.10208,,LEFT_ACCELERATE
10.8458,3.00289,-1,2.115748,7.103188,-45.22438,0.2791899,-31.11121,17.20113,,LEFT_ACCELERATE
11.66399,3.360147,13.17703,2.334867,6.895944,-44.49332,0.2791801,-32.44802,17.30359,,LEFT_ACCELERATE
12.71696,3.796379,11.07366,2.593262,6.676014,-43.662,0.2791857,-33.6806,17.40359,,LEFT_ACCELERATE
13.87723,4.341094,9.671785,2.909385,6.395099,-42.72686,0.2791812,-34.7707,17.50019,,LEFT_ACCELERATE
13.66316,4.607597,9.69322,3.205049,6.059408,-41.68792,0.2791718,-35.85329,17.60097,,LEFT_ACCELERATE
12.31979,4.53862,12.01543,3.370509,5.83497,-40.64465,0.2791629,-36.96119,17.70315,,ACCELERATE
10.88106,4.31208,-1,3.395075,5.814352,-39.63337,0.2791622,-38.07376,17.8041,,ACCELERATE
9.453,3.974191,-1,3.307742,5.988572,-38.66026,0.2791602,-39.16764,17.9024,,ACCELERATE
8.07329,3.552438,-1,3.111401,6.341797,-37.67756,0.2791604,-40.28135,18.00212,,LEFT_ACCELERATE
7.382698,3.196921,-1,2.829703,6.671893,-36.64878,0.2791625,-41.34803,18.1017,,LEFT_ACCELERATE
7.495992,3.003488,-1,2.582834,6.826602,-35.50002,0.2791854,-42.294,18.20185,,LEFT_ACCELERATE
8.783535,3.058495,18.47675,2.455888,6.802146,-34.22807,0.27921,-43.03308,18.301,,LEFT_ACCELERATE
11.58714,3.425149,12.4036,2.533847,6.665137,-32.81711,0.2792121,-43.52558,18.40183,,LEFT_ACCELERATE
17.17031,3.947205,10.11096,2.758422,6.467733,-31.35115,0.2791965,-43.78343,18.50213,,LEFT_ACCELERATE
-1,4.399137,9.161374,3.045626,6.19961,-29.87352,0.2791797,-43.89534,18.60173,,LEFT_ACCELERATE
-1,4.552883,9.010715,3.253935,5.960824,-28.4065,0.2791695,-43.97353,18.70039,,ACCELERATE
-1,4.466673,9.196404,3.349411,5.849079,-26.90087,0.2791626,-44.08651,18.80178,,ACCELERATE
-1,4.302341,9.419003,3.342237,5.876164,-25.43305,0.2791619,-44.22104,18.90074,,ACCELERATE
-1,4.105757,9.671747,3.244141,6.013046,-23.91117,0.2791604,-44.37638,19.00345,,ACCELERATE
-1,3.899389,9.936269,3.090736,6.176318,-22.42664,0.2791608,-44.53774,19.1037,,ACCELERATE
-1,3.687299,10.20769,2.922903,6.344273,-20.94899,0.2791605,-44.70463,19.20354,,ACCELERATE
-1,3.467709,10.48838,2.748991,6.518255,-19.4596,0.2791603,-44.87698,19.3042,,ACCELERATE
18.6069,3.257155,10.75737,2.582171,6.685122,-18.04159,0.2791607,-45.04361,19.40005,,ACCELERATE
17.22003,3.033307,11.01895,2.399965,6.864906,-16.51908,0.2791601,-45.22298,19.50297,,LEFT_ACCELERATE
18.42126,2.984711,10.61825,2.264638,6.959911,-15.05936,0.2791629,-45.34302,19.60137,,LEFT_ACCELERATE
19.21448,3.067138,10.15973,2.233122,6.970936,-13.54231,0.2791631,-45.36755,19.70327,,LEFT_ACCELERATE
17.88908,3.05292,10.16458,2.21991,6.983785,-12.08168,0.2791615,-45.38169,19.80134,,ACCELERATE
16.40592,3.019122,10.22776,2.195612,7.008117,-10.55586,0.2791617,-45.40639,19.90379,,ACCELERATE
14.97399,2.978096,10.45978,2.166001,7.037756,-9.098931,0.2791604,-45.43613,20.00163,,ACCELERATE
13.46376,2.929289,10.98845,2.13064,7.073135,-7.567491,0.2791614,-45.47167,20.10447,,ACCELERATE
12.21816,2.90226,11.82746,2.097502,7.104743,-6.121488,0.2791599,-45.50344,20.20158,,LEFT_ACCELERATE
11.73229,2.977401,12.39941,2.117929,7.082819,-4.588188,0.2791605,-45.48021,20.30456,,LEFT_ACCELERATE
10.33973,2.886899,-1,2.136144,7.062127,-3.143928,0.2791597,-45.44468,20.40155,,ACCELERATE
9.077344,2.725411,-1,2.097068,7.122079,-1.663554,0.2791591,-45.40681,20.50097,,LEFT_ACCELERATE
8.946643,2.673193,-1,2.051461,7.168057,-0.1895478,0.2791639,-45.2902,20.60035,,LEFT_ACCELERATE
9.294918,2.750957,-1,2.062631,7.139494,1.324541,0.2791713,-45.01117,20.70386,,LEFT_ACCELERATE
8.598432,2.683793,-1,2.068191,7.14904,2.766028,0.2791667,-44.67444,20.80326,,LEFT_ACCELERATE
8.526324,2.667306,-1,2.057272,7.163131,4.165098,0.2791666,-44.26933,20.90114,,LEFT_ACCELERATE
8.193566,2.643291,-1,2.054905,7.167458,5.607546,0.2791677,-43.73266,21.00452,,LEFT_ACCELERATE
6.944445,2.429116,-1,1.980424,7.319554,6.95067,0.2791618,-43.22344,21.10096,,ACCELERATE
5.590346,2.09144,-1,1.79257,7.661029,8.345308,0.2791607,-42.71133,21.20071,,LEFT_ACCELERATE
4.779656,1.761319,-1,1.531169,7.981256,9.747107,0.2791616,-42.13503,21.30254,,LEFT_ACCELERATE
4.70289,1.563931,-1,1.31519,8.09283,11.03428,0.2791848,-41.43077,21.40128,,LEFT_ACCELERATE
5.637211,1.572776,-1,1.235257,8.020962,12.19462,0.2792068,-40.53181,21.5002,,LEFT_ACCELERATE
7.987448,1.860322,-1,1.331889,7.865837,13.20487,0.2792155,-39.37475,21.60385,,LEFT_ACCELERATE
10.63374,2.373175,13.797,1.600097,7.660847,13.97549,0.2792016,-38.10165,21.70421,,LEFT_ACCELERATE
12.25977,2.910236,11.7767,1.924506,7.364255,14.59286,0.2791852,-36.75809,21.80365,,LEFT_ACCELERATE
12.14461,3.186666,11.88761,2.19284,7.049433,15.15291,0.2791699,-35.40567,21.90195,,ACCELERATE
10.82618,3.186384,13.60966,2.340013,6.86095,15.75749,0.2791635,-34.01854,22.00356,,ACCELERATE
9.032503,2.976617,16.50488,2.346782,6.88877,16.38105,0.2791635,-32.69804,22.10164,,RIGHT_ACCELERATE
6.822451,2.540873,-1,2.175635,7.240714,17.09515,0.2791644,-31.41193,22.20048,,RIGHT_ACCELERATE
5.427392,2.096563,-1,1.864359,7.702542,17.84079,0.2791603,-30.11572,22.30089,,LEFT_ACCELERATE
4.794909,1.74367,-1,1.537361,8.010354,18.49394,0.2791662,-28.79094,22.40018,,LEFT_ACCELERATE
5.085565,1.542993,17.07867,1.28863,8.090487,18.98375,0.2791891,-27.36224,22.50186,,LEFT_ACCELERATE
6.312869,1.478968,14.52836,1.177776,8.099111,19.26741,0.279181,-25.87472,22.60377,,LEFT_ACCELERATE
7.88535,1.42986,13.51688,1.127219,8.133148,19.4237,0.2791772,-24.43579,22.70102,,LEFT_ACCELERATE
13.48905,1.460908,12.51098,1.101098,8.112916,19.4854,0.2791695,-22.92472,22.80261,,LEFT_ACCELERATE
15.48029,1.434103,12.37558,1.085149,8.137428,19.51944,0.2791644,-21.4499,22.90167,,ACCELERATE
14.56807,1.355539,12.47026,1.026018,8.196772,19.57945,0.2791632,-19.93007,23.0038,,ACCELERATE
13.4626,1.257627,12.58693,0.9521732,8.270811,19.65348,0.2791604,-18.46795,23.10209,,ACCELERATE
12.32576,1.144529,12.71117,0.8661772,8.356517,19.73915,0.2791612,-16.97459,23.20251,,LEFT_ACCELERATE
-1,1.108663,12.26286,0.8088363,8.395815,19.79017,0.279161,-15.46259,23.30412,,LEFT_ACCELERATE
-1,1.282711,11.36451,0.8735088,8.332769,19.71837,0.2791663,-13.99274,23.40304,,LEFT_ACCELERATE
-1,1.506662,10.99035,1.005337,8.209269,19.59069,0.2791637,-12.50876,23.50305,,ACCELERATE
-1,1.677331,10.83839,1.119292,8.095287,19.47579,0.2791613,-11.0252,23.60295,,RIGHT_ACCELERATE
-1,1.749806,11.00033,1.201715,8.002112,19.3987,0.2791649,-9.531348,23.70342,,RIGHT_ACCELERATE
-1,1.658128,11.47615,1.187103,8.013618,19.41541,0.2791643,-8.081682,23.8008,,RIGHT_ACCELERATE
-1,1.603466,11.55611,1.150612,8.050398,19.45105,0.2791606,-6.585089,23.9013,,ACCELERATE
-1,1.578386,11.49688,1.123315,8.076881,19.47627,0.2791606,-5.056828,24.00392,,LEFT_ACCELERATE
-1,1.751147,10.80651,1.173887,8.038537,19.42182,0.2791666,-3.627475,24.10006,,LEFT_ACCELERATE
-1,2.162395,10.07059,1.364057,7.889353,19.23574,0.2791663,-2.087116,24.20429,,LEFT_ACCELERATE
-1,2.482646,9.793243,1.559632,7.697488,19.0435,0.279163,-0.6551878,24.30129,,ACCELERATE
-1,2.777185,9.558487,1.744931,7.512054,18.85858,0.2791615,0.806707,24.40022,,ACCELERATE
-1,2.996207,9.452343,1.914312,7.32842,18.68552,0.2791623,2.353048,24.5047,,RIGHT_ACCELERATE
-1,2.889908,9.90789,1.979597,7.224935,18.62273,0.2791699,3.833852,24.60433,,RIGHT_ACCELERATE
